Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
herschel-iona-2,HERSCHEL | IONA,"Featuring a cinch closure concealed by a slender top flap, the Iona backpack unites everyday practicality with clean design.",HERSCHEL,,ACCESSORIES,"backpack, egnition-sample-data, herschel",true,Size,OS,Color,black,,,H-01-black-OS,0.0,shopify,10,deny,manual,119.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/995988006b97471478db3371d573bfaf_372e7e78-b9e1-45db-a437-c148cfe76001.jpg?v=1667516320,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
herschel-iona-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/b0ab17055d14298b4adb7499b23cb0bd_6f2533b7-2c65-4fa7-aff8-1de5425f0ace.jpg?v=1667516320,2,,,,,,,,,,,,,,,,,,,,,,,,
herschel-iona-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/97da9be116d931319e458251c546a8cc_2da0d9f5-5316-4967-8e99-13684f7e74ac.jpg?v=1667516320,3,,,,,,,,,,,,,,,,,,,,,,,,
herschel-iona-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/fde9f9b5276e4fa87968fcced7d2b254_4c15fe7b-ddcb-4733-903a-b830c16e1709.jpg?v=1667516320,4,,,,,,,,,,,,,,,,,,,,,,,,
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white-2,VANS APPAREL AND ACCESSORIES | CLASSIC SUPER NO SHOW SOCKS 3 PACK WHITE,The classic super no show socks are for all your low top shoes like Classic Slip-Ons. These socks are designed to stay hidden under your shoes for an athletic look with either jeans or shorts. Thin walled breathable cotton/nylon blend.,VANS,,ACCESSORIES,"egnition-sample-data, unisex, vans",true,Size,9.5-13,Color,white,,,VN-10-white-9.5-13,0.0,shopify,5,deny,manual,19.95,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ccba62c19289e4b5f14b180c05836614_5956bcd9-2d50-43a7-a2d4-d28294635825.jpg?v=1667516317,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
vans-apparel-and-accessories-classic-super-no-show-socks-3-pack-white-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/c872c818621155d8fb535ee9d9c98803_ab221ec0-4258-478d-8f74-3f11f818a84f.jpg?v=1667516317,2,,,,,,,,,,,,,,,,,,,,,,,,
adidas-kids-stan-smith-2,ADIDAS | KID'S STAN SMITH,"The Stan Smith owned the tennis court in the '70s. Today it runs the streets with the same clean, classic style. These kids' shoes preserve the iconic look of the original, made in leather with punched 3-Stripes, heel and tongue logos and lightweight step-in cushioning.",ADIDAS,,SHOES,"adidas, egnition-sample-data, kid",true,Size,1,Color,white,,,AD-02-white-1,0.0,shopify,9,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/7883dc186e15bf29dad696e1e989e914_8277a144-079a-45ed-9c1d-19abeddeb3b2.jpg?v=1667516314,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
adidas-kids-stan-smith-2,,,,,,,,,2,,white,,,AD-02-white-2,0.0,shopify,9,deny,manual,90.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8cd561824439482e3cea5ba8e3a6e2f6_240b9871-899c-45e7-a243-9871cc22b426.jpg?v=1667516314,2,,,,,,,,,,,,,,,,,,,kg,,,,,
adidas-kids-stan-smith-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/2e1f72987692d2dcc3c02be2f194d6c5_0f423513-26b5-4d48-9c63-756e4e5e0250.jpg?v=1667516314,3,,,,,,,,,,,,,,,,,,,,,,,,
adidas-kids-stan-smith-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/6216e82660d881e6f2b0e46dc3f8844a_18d650ce-e874-41fe-83d6-06249946c35e.jpg?v=1667516314,4,,,,,,,,,,,,,,,,,,,,,,,,
adidas-kids-stan-smith-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e5247cc373e3b61f18013282a6d9c3c0_a0e9c9d6-272b-4fb4-9453-4402b14f3d8c.jpg?v=1667516314,5,,,,,,,,,,,,,,,,,,,,,,,,
nike-toddler-roshe-one-2,NIKE | TODDLER ROSHE ONE,"The Nike Roshe One Infant Shoe offers breathable comfort and soft yet durable cushioning with a mesh upper and Phylon midsole that doubles as an outsole. The shoe is intended to be versatile, worn with or without socks, dressed up or down, for walking or just taking it easy.",NIKE,,SHOES,"egnition-sample-data, kid, nike",true,Size,4,Color,black,,,NK-02-black-4,0.0,shopify,14,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/0ea90fb43c087d165cbf985098cc951e_92143a91-6738-4efa-86f8-5a6635b6ccf3.jpg?v=1667516310,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
nike-toddler-roshe-one-2,,,,,,,,,7,,black,,,NK-02-black-7,0.0,shopify,8,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8eeca51f9690c7d3a450ac1afce12447_003a9b81-b1f6-4e43-b895-401922b31cb5.jpg?v=1667516310,2,,,,,,,,,,,,,,,,,,,kg,,,,,
nike-toddler-roshe-one-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e62b9da2f06b91ca1e2ef42437cfd265_4feb57e0-6f9d-4b9c-95c0-1775d62c378c.jpg?v=1667516310,3,,,,,,,,,,,,,,,,,,,,,,,,
nike-toddler-roshe-one-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/46a7bbc695d01a6b0e5fee283cbfba99_129ce5df-ad69-46b5-bbbf-b5d1906233d3.jpg?v=1667516310,4,,,,,,,,,,,,,,,,,,,,,,,,
nike-toddler-roshe-one-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/986a2b052ada03689c1c0a576fd00d94_0bec4f14-b3eb-41a8-ac6a-740cb343c60d.jpg?v=1667516310,5,,,,,,,,,,,,,,,,,,,,,,,,
converse-toddler-chuck-taylor-all-star-axel-mid-2,CONVERSE | TODDLER CHUCK TAYLOR ALL STAR AXEL MID,"The Converse Chuck Taylor All Star Axel recasts the iconic original in a refreshed silhouette for a premium look and feel. A no-tie design lets kids slip them on and go, while a rubber outsole delivers reliable traction from the classroom to the playground.",CONVERSE,,SHOES,"converse, egnition-sample-data, kid",true,Size,5,Color,black,,,C-03-black-5,0.0,shopify,14,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/9e0022e2f92e19ed96c8f908f2cf1b40_7ba4fb86-82a0-4cfd-b3ce-a01315a275b3.jpg?v=1667516306,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
converse-toddler-chuck-taylor-all-star-axel-mid-2,,,,,,,,,6,,black,,,C-03-black-6,0.0,shopify,10,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/ccb1295a4de27c9e22baa70f93c80e11_df497ff7-44e1-438f-b3d8-1c503753a1d4.jpg?v=1667516306,2,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-toddler-chuck-taylor-all-star-axel-mid-2,,,,,,,,,7,,black,,,C-03-black-7,0.0,shopify,7,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/a1c5f2b0c38389be8616b23b4809d1eb_20376e18-efb9-46df-8bda-76a9ee51605b.jpg?v=1667516306,3,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-toddler-chuck-taylor-all-star-axel-mid-2,,,,,,,,,8,,black,,,C-03-black-8,0.0,shopify,4,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e80b902b3f4690444edb80c1462b262c_ef7345fc-719d-4fdf-b97d-bcc5786911ad.jpg?v=1667516306,4,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-toddler-chuck-taylor-all-star-axel-mid-2,,,,,,,,,9,,black,,,C-03-black-9,0.0,shopify,20,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/d6b14300fa5787e09152538830682ce3_54215d50-913d-4c0e-af4a-37245043b599.jpg?v=1667516306,5,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-ii-hi-2,CONVERSE | CHUCK TAYLOR ALL STAR II HI,"Introducing the Converse Chuck Taylor All Star II Hi sneaker. Retaining the revolutionary silhouette we all rely on, but now made ever better. New features include Lunarlon sockliner adds cushioning and arch support. Micro-suede lining, premium textured shield canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",CONVERSE,,SHOES,"converse, egnition-sample-data, men, summer",true,Size,4,Color,black,,,C-02-black-4,0.0,shopify,9,deny,manual,140.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/23550440c4ccab05e4fc1ebd85e742cc_0933a51e-3c36-406d-a3d9-b7ad2835179a.jpg?v=1667516301,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
converse-chuck-taylor-all-star-ii-hi-2,,,,,,,,,5,,black,,,C-02-black-5,0.0,shopify,2,deny,manual,140.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e4bd9a72977ef0e6f32322165f28d49e_b36a7d9d-af5a-4825-b616-378c6e90ce23.jpg?v=1667516301,2,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-ii-hi-2,,,,,,,,,6,,black,,,C-02-black-6,0.0,shopify,18,deny,manual,140.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/3a173ea06223afea8ddebf0ac5d50377_348a62ed-88fb-4eb6-909d-3f9b38d6e6f2.jpg?v=1667516301,3,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-ii-hi-2,,,,,,,,,7,,black,,,C-02-black-7,0.0,shopify,9,deny,manual,140.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/3bf0245b901dd69d0cb873a8540b2a82_5d26aef9-66d1-48d3-a585-6d9c2f4d2861.jpg?v=1667516301,4,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-ii-hi-2,,,,,,,,,9,,black,,,C-02-black-9,0.0,shopify,7,deny,manual,140.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/78fd46fb89e820a895e55283ee11fea3_4b346b40-8ccf-4679-845c-409d9b1f05f5.jpg?v=1667516301,5,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-ii-hi-2,,,,,,,,,11,,black,,,C-02-black-11,0.0,shopify,10,deny,manual,140.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-ii-hi-2,,,,,,,,,13,,black,,,C-02-black-13,0.0,shopify,10,deny,manual,140.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,CONVERSE | CHUCK TAYLOR ALL STAR LO,"The Converse Chuck Taylor All Star II Lo sneaker. Retaining the revolutionary silhouette we all rely on, but now made even better. New features include Lunarlon sockliner, adding cushioning and arch support. Micro-suede lining, premium canvas construction and a padded, non-slip tongue deliver superior comfort and durability. Moulded eyelets add a premium touch. The embossed, screen-printed license plate and embroidered, star-centered ankle patch add striking depth and dimension to recognizable, classic details.",CONVERSE,,SHOES,"converse, egnition-sample-data, men, summer",true,Size,3,Color,white,,,C-01-white-3,0.0,shopify,5,deny,manual,100.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/fae150570c8ce6ddc4f787bf77b02c95_a8bfb789-92db-4a31-a498-6288dd8dab76.jpg?v=1667516296,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
converse-chuck-taylor-all-star-lo-2,,,,,,,,,4,,white,,,C-01-white-4,0.0,shopify,1,deny,manual,100.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/c7ba291151a4993bca678f735fbe78b4_1ad7ec43-1fa5-4384-b101-10852a33bb67.jpg?v=1667516296,2,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,5,,white,,,C-01-white-5,0.0,shopify,1,deny,manual,100.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/1b19e25fcdd1d5f8a4aa625c02f0e04c_bd10e4a5-e9c6-46f5-a101-14a6b528a5ab.jpg?v=1667516296,3,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,6,,white,,,C-01-white-6,0.0,shopify,15,deny,manual,100.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/e1a602299eadb59238aecf3781d184b7_674e5341-f1f0-4847-a238-97b113b8bc9f.jpg?v=1667516296,4,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,7,,white,,,C-01-white-7,0.0,shopify,4,deny,manual,100.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/6d8a2bfbdcd51482a2b0eaac948acd21_fc3759cc-5cf5-4fe4-b1af-496d777b3ec5.jpg?v=1667516296,5,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,8,,white,,,C-01-white-8,0.0,shopify,20,deny,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,9,,white,,,C-01-white-9,0.0,shopify,11,deny,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,10,,white,,,C-01-white-10,0.0,shopify,15,deny,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,11,,white,,,C-01-white-11,0.0,shopify,20,deny,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,12,,white,,,C-01-white-12,0.0,shopify,4,deny,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
converse-chuck-taylor-all-star-lo-2,,,,,,,,,13,,white,,,C-01-white-13,0.0,shopify,17,deny,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,DR MARTENS | 1460Z DMC 8-EYE BOOT | CHERRY SMOOTH,"Make a statement with these iconic Dr Marten boots. This classic style has stood the test of time thanks to the combination of reinvented styling and the rugged yet urban look. Crafted with high-quality, durable leathers, the 1460OZ DMC 8-Eye Boot Cherry Smooth is made to last and will only get better with time. This lace-up boot features the iconic Dr Martens air-cushioned sole offering good abrasion and slip resistance, and is made with Goodyear welt - the sole and upper are heat-sealed and sewn together.",DR MARTENS,,SHOES,"autumn, drmartens, egnition-sample-data, spring, women",true,Size,3,Color,red,,,DM-03-red-3,0.0,shopify,2,deny,manual,249.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/633e8800dbc6dc5704b35fd027e4eeaa_e9e09269-eb3d-42a6-92eb-f347cbe829c6.jpg?v=1667516291,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,4,,red,,,DM-03-red-4,0.0,shopify,18,deny,manual,249.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/03b22296d47b97717f066ad08efa188a_3b351086-8b5e-426c-aaba-6fe620f6563d.jpg?v=1667516291,2,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,5,,red,,,DM-03-red-5,0.0,shopify,20,deny,manual,249.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/46bfe44252168c8026e3f193a9cae058_5c87727a-2361-47cc-8a46-53094c3d7b3c.jpg?v=1667516291,3,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,6,,red,,,DM-03-red-6,0.0,shopify,14,deny,manual,249.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/908519f7cd4790765ebf6f2c88d5275a_f22214d0-5b31-48aa-a117-d0e953e0ba92.jpg?v=1667516291,4,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,7,,red,,,DM-03-red-7,0.0,shopify,11,deny,manual,249.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/f4ee52a9e1ea7d0c5b959fe475d2418f_5fe0d621-55d5-4db0-8181-dba0e300aff9.jpg?v=1667516291,5,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,8,,red,,,DM-03-red-8,0.0,shopify,8,deny,manual,249.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,10,,red,,,DM-03-red-10,0.0,shopify,11,deny,manual,249.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,11,,red,,,DM-03-red-11,0.0,shopify,0,deny,manual,249.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,12,,red,,,DM-03-red-12,0.0,shopify,9,deny,manual,249.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,13,,red,,,DM-03-red-13,0.0,shopify,1,deny,manual,249.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
dr-martens-1460z-dmc-8-eye-boot-cherry-smooth-2,,,,,,,,,15,,red,,,DM-03-red-15,0.0,shopify,5,deny,manual,249.00,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,,,
adidas-classic-backpack-legend-ink-multicolour-1,ADIDAS | CLASSIC BACKPACK | LEGEND INK MULTICOLOUR,"The adidas BP Classic Cap features a pre-curved brim to keep your face shaded, while a hook-and-loop adjustable closure provides a comfortable fit. With a 3-Stripes design and reflective accents. The perfect piece to top off any outfit.",ADIDAS,,ACCESSORIES,"adidas, backpack, egnition-sample-data",true,Size,OS,Color,blue,,,"AD-04
-blue-OS",0.0,shopify,16,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/8072c8b5718306d4be25aac21836ce16_a26a4c31-cf57-4c7e-a1d0-941b19751eba.jpg?v=1667516289,1,,false,,,,,,,,,,,,,,,,,kg,,,,,active
adidas-classic-backpack-legend-ink-multicolour-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/32b3863554f4686d825d9da18a24cfc6_60fdd6d3-55a3-4e65-bc45-85714ff707bb.jpg?v=1667516289,2,,,,,,,,,,,,,,,,,,,,,,,,
adidas-classic-backpack-legend-ink-multicolour-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0674/3408/6693/products/044f848776141f1024eae6c610a28d12_f045c237-e793-4b20-af5d-455868a21e13.jpg?v=1667516289,3,,,,,,,,,,,,,,,,,,,,,,,,
